5 ---   Pontos de Pressão PVT
press.    FVF      spec. weight  Viscosity
1000	1.02827	    0.43214	 10.0
2000	1.02224	    0.43342	 10.0
3000	1.01621	    0.43599	 10.0
4000	1.01024	    0.43856	 10.0
5000	1.00506	    0.44113	 10.0
(psia    RB/bbl     psi/ft        cp  )
